"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"34","EC.2.3.1.184","Genotype","MUT",0.296179118592724,0.117373594177065,90,82,0.0134840220518217,0.0751836381071273,"Acyl-homoserine-lactone synthase"
"35","EC.2.3.1.228","Genotype","MUT",0.251429164628997,0.0799996145012526,90,72,0.0023036123119122,0.0225726744883231,"Isovaleryl-homoserine lactone synthase"
"36","EC.2.3.1.229","Genotype","MUT",0.251429164628997,0.0799996145012526,90,72,0.0023036123119122,0.0225726744883231,"4-coumaroyl-homoserine lactone synthase"
"37","EC.2.4.1.252","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase"
"38","EC.2.4.1.264","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"2-beta-glucuronyltransferase"
"39","EC.2.6.1.48","Genotype","MUT",0.177066685324918,0.0719973190951333,90,73,0.0211847785169136,0.108770600928517,"5-aminovalerate transaminase"
"40","EC.2.6.1.84","Genotype","MUT",0.216520062229842,0.0953152451904152,90,82,0.0319699097385404,0.151342079077606,"Arginine--pyruvate transaminase"
"41","EC.2.7.1.13","Genotype","MUT",0.177066685324918,0.0719973190951333,90,73,0.0211847785169136,0.108770600928517,"Dehydrogluconokinase"
"42","EC.2.7.7.68","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"2-phospho-L-lactate guanylyltransferase"
"43","EC.2.7.8.28","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"2-phospho-L-lactate transferase"
"44","EC.2.8.3.5","Genotype","MUT",0.460124229404821,0.202051708042356,90,90,0.0315887811506079,0.150103361794567,"3-oxoacid CoA-transferase"
"45","EC.3.1.1.57","Genotype","MUT",0.252241063152413,0.0800609562673818,90,72,0.00224976205629741,0.0225726744883231,"2-pyrone-4,6-dicarboxylate lactonase"
"46","EC.3.1.2.1","Genotype","MUT",0.25029530013364,0.0811392901773993,90,72,0.00274845112974058,0.0255698599485978,"Acetyl-CoA hydrolase"
"47","EC.3.1.3.8","Genotype","MUT",0.25142916462897,0.0851996990504979,90,73,0.00409165523531023,0.0326937566691134,"3-phytase"
"48","EC.3.1.4.3","Genotype","HET",0.30431226959304,0.144403894935269,90,90,0.0452847443089302,0.200780553080558,"Phospholipase C"
"49","EC.3.13.1.1","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"UDP-sulfoquinovose synthase"
"50","EC.3.13.1.3","Genotype","MUT",0.177882441444435,0.0722998147638719,90,73,0.0211380341598689,0.108770600928517,"2'-hydroxybiphenyl-2-sulfinate desulfinase"
"51","EC.3.2.1.130","Genotype","HET",0.643158814817841,0.318882303165545,90,90,0.0545645507692901,0.233334786504698,"Glycoprotein endo-alpha-1,2-mannosidase"
"52","EC.3.2.1.135","Genotype","MUT",-1.64476973790267,0.831524290478392,90,90,0.0590480498253068,0.245225255199268,"Neopullulanase"
"53","EC.3.2.1.96","Genotype","MUT",-1.46600466484749,0.711606878949644,90,90,0.0499388455261542,0.217199548762472,"Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase"
"54","EC.3.4.11.14","Genotype","MUT",-1.67264589815003,0.84436851156878,90,90,0.0586999203389842,0.244709547723637,"Cytosol alanyl aminopeptidase"
"55","EC.3.4.15.1","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Peptidyl-dipeptidase A"
"56","EC.3.4.24.40","Genotype","MUT",0.290882541533885,0.121681131208301,90,83,0.019033056705908,0.0997428541296951,"Serralysin"
"57","EC.3.5.1.107","Genotype","MUT",0.177521737980416,0.0647118095432404,90,72,0.0110866902579481,0.0651727608815092,"Maleamate amidohydrolase"
"58","EC.3.5.3.3","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"Creatinase"
"59","EC.3.5.3.8","Genotype","MUT",0.27818941098218,0.122376342814486,90,90,0.0318645241512662,0.151196710585951,"Formimidoylglutamase"
"60","EC.3.6.1.11","Genotype","MUT",-0.165330939795911,0.0823707736759631,90,90,0.0556603717249891,0.236342501478415,"Exopolyphosphatase"
"61","EC.3.6.1.40","Genotype","MUT",-0.165330939795911,0.0823707736759631,90,90,0.0556603717249891,0.236342501478415,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase"
"62","EC.3.7.1.17","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"hydrolase"
"63","EC.4.1.3.17","Genotype","MUT",0.197191204283848,0.0621547867614056,90,72,0.003973893246392,0.0320231981315092,"4-hydroxy-4-methyl-2-oxoglutarate aldolase"
"64","EC.4.1.3.43","Genotype","MUT",0.143733351991585,0.0718128059577436,90,73,0.0563034846182088,0.238157268270125,"4-hydroxy-2-oxohexanoate aldolase"
"65","EC.4.2.1.108","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Ectoine synthase"
"66","EC.4.2.1.132","Genotype","MUT",0.143733351991585,0.0718128059577436,90,73,0.0563034846182088,0.238157268270125,"2-hydroxyhexa-2,4-dienoate hydratase"
"67","EC.4.2.1.136","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"ADP-dependent NAD(P)H-hydrate dehydratase"
"68","EC.4.2.1.153","Genotype","MUT",0.218990101530658,0.0852583364658689,90,73,0.011959317374313,0.06860350069837,"3-methylfumaryl-CoA hydratase"
"69","EC.4.2.1.32","Genotype","MUT",-0.724111010623429,0.330082156760551,90,90,0.0377684986181991,0.173855826856811,"L(+)-tartrate dehydratase"
"70","EC.4.2.1.68","Genotype","MUT",0.143733351991585,0.0718128059577436,90,73,0.0563034846182088,0.238157268270125,"L-fuconate dehydratase"
"71","EC.5.1.1.8","Genotype","MUT",0.236774458942312,0.112652089328792,90,83,0.0458100734073775,0.202671094514312,"4-hydroxyproline epimerase"
"72","EC.5.3.2.8","Genotype","MUT",0.197217694498465,0.0621220019462625,90,72,0.00395353558186725,0.0318979533426171,"4-oxalomesaconate tautomerase"
"73","EC.5.3.3.18","Genotype","MUT",0.228900262160554,0.0858020223354162,90,90,0.0131955777534839,0.0741369864623218,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
"74","EC.5.4.1.3","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"2-methylfumaryl-CoA isomerase"
"75","EC.5.5.1.19","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Lycopene beta-cyclase"
"76","EC.6.3.2.31","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Coenzyme F420-0:L-glutamate ligase"
"77","EC.6.3.2.34","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Coenzyme F420-1:gamma-L-glutamate ligase"
